Move Number,Eval,Centipawn Loss,Time Left,Time Spent
1w,0.08,0,180,0
1b,0.2,0.12000000000000001,180,0
2w,0.08,0.12000000000000001,178,2
2b,0.09,0.009999999999999995,180,0
3w,0.16,0,177,1
3b,0.05,0,179,1
4w,0.0,0.05,176,1
4b,0.18,0.18,178,1
5w,-0.07,0.25,176,0
5b,-0.1,0,177,1
6w,-0.08,0,176,0
6b,-0.12,0,175,2
7w,0.11,0,174,2
7b,1.13,1.0199999999999998,173,2
8w,-0.08,1.21,173,1
8b,0.3,0.38,171,2
9w,0.29,0.010000000000000009,172,1
9b,0.27,0,170,1
10w,0.28,0,171,1
10b,0.82,0.5399999999999999,169,1
11w,0.7,0.12,170,1
11b,0.77,0.07000000000000006,168,1
12w,0.45,0.32,165,5
12b,0.53,0.08000000000000002,167,1
13w,0.41,0.12000000000000005,165,0
13b,0.47,0.06,164,3
14w,0.17,0.29999999999999993,165,0
14b,0.4,0.23,162,2
15w,0.4,0,163,2
15b,0.82,0.41999999999999993,159,3
16w,0.17,0.6499999999999999,161,2
16b,0.46,0.29000000000000004,157,2
17w,0.19,0.27,161,0
17b,0.57,0.37999999999999995,156,1
18w,0.23,0.33999999999999997,160,1
18b,0.4,0.17,150,6
19w,-0.41,0.81,154,6
19b,0.26,0.6699999999999999,145,5
20w,0.24,0.020000000000000018,152,2
20b,0.27,0.030000000000000027,144,1
21w,0.24,0.030000000000000027,148,4
21b,0.32,0.08000000000000002,141,3
22w,0.32,0,145,3
22b,1.42,1.0999999999999999,137,4
23w,0.0,1.42,143,2
23b,0.07,0.07,136,1
24w,0.0,0.07,131,12
24b,0.11,0.11,130,6
25w,-0.16,0.27,129,2
25b,-0.32,0,127,3
26w,-0.37,0.04999999999999999,103,26
26b,0.0,0.37,122,5
27w,0.0,0,98,5
27b,0.0,0,121,1
28w,0.0,0,98,0
28b,0.0,0,120,1
29w,0.0,0,98,0
29b,0.95,0.95,118,2
30w,0.8,0.1499999999999999,96,2
30b,0.83,0.029999999999999916,111,7
31w,0.6,0.22999999999999998,89,7
31b,0.98,0.38,110,1
32w,0.88,0.09999999999999998,89,0
32b,0.6,0,110,0
33w,0.2,0.39999999999999997,86,3
33b,0.2,0,109,1
34w,0.2,0,86,0
34b,0.37,0.16999999999999998,101,8
35w,0.47,0,75,11
35b,0.47,0,100,1
36w,0.47,0,73,2
36b,0.47,0,99,1
37w,0.2,0.26999999999999996,73,0
37b,0.2,0,98,1
38w,0.2,0,71,2
38b,0.2,0,94,4
39w,0.2,0,70,1
39b,0.28,0.08000000000000002,90,4
40w,0.16,0.12000000000000002,64,6
40b,0.59,0.42999999999999994,87,3
41w,0.16,0.42999999999999994,63,1
41b,0.47,0.30999999999999994,85,2
42w,0.17,0.29999999999999993,61,2
42b,0.47,0.29999999999999993,85,0
43w,0.17,0.29999999999999993,60,1
43b,0.17,0,84,1
44w,0.17,0,55,5
44b,0.17,0,82,2
45w,0.17,0,53,2
45b,0.17,0,79,3
46w,0.17,0,51,2
46b,0.17,0,78,1
47w,0.17,0,45,6
47b,0.17,0,73,5
48w,0.17,0,44,1
48b,0.25,0.07999999999999999,70,3
49w,0.25,0,42,2
49b,0.25,0,68,2
50w,0.25,0,41,1
50b,0.25,0,66,2
51w,0.25,0,39,2
51b,0.25,0,63,3
52w,0.08,0.16999999999999998,38,1
52b,0.08,0,62,1
53w,0.08,0,35,3
53b,0.08,0,60,2
54w,0.08,0,34,1
54b,0.08,0,59,1
55w,0.0,0.08,33,1
55b,0.0,0,58,1
56w,0.0,0,32,1
56b,0.0,0,56,2
57w,0.0,0,29,3
57b,0.08,0.08,54,2
58w,0.08,0,29,0
58b,0.08,0,54,0
1w,0.09,0,180,2
1b,0.17,0.08000000000000002,180,2
2w,0.03,0.14,171,11
2b,0.17,0.14,181,1
3w,0.08,0.09000000000000001,170,3
3b,0.27,0.19,183,0
4w,0.32,0,166,6
4b,0.19,0,184,1
5w,0.11,0.08,166,2
5b,0.19,0.08,185,1
6w,0.13,0.06,164,4
6b,0.17,0.04000000000000001,186,1
7w,0.04,0.13,160,6
7b,0.48,0.44,187,1
8w,0.37,0.10999999999999999,159,3
8b,1.55,1.1800000000000002,183,6
9w,1.62,0,147,14
9b,3.18,1.56,177,8
10w,2.88,0.30000000000000027,138,11
10b,2.96,0.08000000000000007,177,2
11w,2.82,0.14000000000000012,137,3
11b,9.21,6.390000000000001,170,9
12w,9.17,0.040000000000000924,134,5
12b,9.14,0,168,4
13w,9.06,0.08000000000000007,134,2
13b,9.87,0.8099999999999987,162,8
1w,0.08,0,60,0
1b,0.41,0.32999999999999996,60,0
2w,0.25,0.15999999999999998,59,1
2b,0.49,0.24,60,0
3w,0.49,0,59,0
3b,0.45,0,60,0
4w,0.19,0.26,59,0
4b,0.08,0,60,0
5w,0.0,0.08,59,0
5b,0.54,0.54,60,0
6w,0.12,0.42000000000000004,58,1
6b,0.62,0.5,60,0
7w,0.5,0.12,57,1
7b,0.62,0.12,60,0
8w,0.63,0,57,0
8b,0.65,0.020000000000000018,59,1
9w,0.61,0.040000000000000036,56,1
9b,0.53,0,59,0
